*** CreateTypeLogger.CreateLog4Net: Clr(Runtime=Clr, InvocationCount=1, UnrollFactor=1) ***
* Raw *
WorkloadActual 61: 1 op, 31500 ns, 31.5000 us/op
WorkloadActual 62: 1 op, 49900 ns, 49.9000 us/op
WorkloadActual 63: 1 op, 55600 ns, 55.6000 us/op
WorkloadActual 64: 1 op, 51400 ns, 51.4000 us/op
WorkloadActual 65: 1 op, 60400 ns, 60.4000 us/op
WorkloadActual 66: 1 op, 49900 ns, 49.9000 us/op
WorkloadActual 67: 1 op, 35100 ns, 35.1000 us/op
WorkloadActual 68: 1 op, 33100 ns, 33.1000 us/op
WorkloadActual 69: 1 op, 55500 ns, 55.5000 us/op
WorkloadActual 70: 1 op, 70100 ns, 70.1000 us/op
WorkloadActual 71: 1 op, 58600 ns, 58.6000 us/op
WorkloadActual 72: 1 op, 58100 ns, 58.1000 us/op
WorkloadActual 73: 1 op, 76300 ns, 76.3000 us/op
WorkloadActual 74: 1 op, 31600 ns, 31.6000 us/op
WorkloadActual 75: 1 op, 49300 ns, 49.3000 us/op
WorkloadActual 76: 1 op, 71300 ns, 71.3000 us/op
WorkloadActual 77: 1 op, 50200 ns, 50.2000 us/op
WorkloadActual 78: 1 op, 69900 ns, 69.9000 us/op
WorkloadActual 79: 1 op, 88400 ns, 88.4000 us/op
WorkloadActual 80: 1 op, 31400 ns, 31.4000 us/op
WorkloadActual 81: 1 op, 54600 ns, 54.6000 us/op
WorkloadActual 82: 1 op, 56200 ns, 56.2000 us/op
WorkloadActual 83: 1 op, 54900 ns, 54.9000 us/op
WorkloadActual 84: 1 op, 49300 ns, 49.3000 us/op
WorkloadActual 85: 1 op, 57200 ns, 57.2000 us/op
WorkloadActual 86: 1 op, 38600 ns, 38.6000 us/op
WorkloadActual 87: 1 op, 71800 ns, 71.8000 us/op
WorkloadActual 88: 1 op, 65700 ns, 65.7000 us/op
WorkloadActual 89: 1 op, 71800 ns, 71.8000 us/op
WorkloadActual 90: 1 op, 43700 ns, 43.7000 us/op
WorkloadActual 91: 1 op, 57600 ns, 57.6000 us/op
WorkloadActual 92: 1 op, 56700 ns, 56.7000 us/op
WorkloadActual 93: 1 op, 71900 ns, 71.9000 us/op
WorkloadActual 94: 1 op, 56700 ns, 56.7000 us/op
WorkloadActual 95: 1 op, 61500 ns, 61.5000 us/op
WorkloadActual 96: 1 op, 31700 ns, 31.7000 us/op
WorkloadActual 97: 1 op, 74900 ns, 74.9000 us/op
WorkloadActual 98: 1 op, 70500 ns, 70.5000 us/op
WorkloadActual 99: 1 op, 40300 ns, 40.3000 us/op
WorkloadActual 100: 1 op, 59200 ns, 59.2000 us/op
WorkloadResult 1: 1 op, 35700 ns, 35.7000 us/op
WorkloadResult 2: 1 op, 49100 ns, 49.1000 us/op
WorkloadResult 3: 1 op, 44700 ns, 44.7000 us/op
WorkloadResult 4: 1 op, 48600 ns, 48.6000 us/op
WorkloadResult 5: 1 op, 55900 ns, 55.9000 us/op
WorkloadResult 6: 1 op, 36300 ns, 36.3000 us/op
WorkloadResult 7: 1 op, 57600 ns, 57.6000 us/op
WorkloadResult 8: 1 op, 59400 ns, 59.4000 us/op
WorkloadResult 9: 1 op, 69600 ns, 69.6000 us/op
WorkloadResult 10: 1 op, 31100 ns, 31.1000 us/op
WorkloadResult 11: 1 op, 66000 ns, 66.0000 us/op
WorkloadResult 12: 1 op, 56700 ns, 56.7000 us/op
WorkloadResult 13: 1 op, 51600 ns, 51.6000 us/op
WorkloadResult 14: 1 op, 70100 ns, 70.1000 us/op
WorkloadResult 15: 1 op, 36000 ns, 36.0000 us/op
WorkloadResult 16: 1 op, 56800 ns, 56.8000 us/op
WorkloadResult 17: 1 op, 56700 ns, 56.7000 us/op
WorkloadResult 18: 1 op, 32700 ns, 32.7000 us/op
WorkloadResult 19: 1 op, 68800 ns, 68.8000 us/op
WorkloadResult 20: 1 op, 35000 ns, 35.0000 us/op
WorkloadResult 21: 1 op, 57000 ns, 57.0000 us/op
WorkloadResult 22: 1 op, 54100 ns, 54.1000 us/op
WorkloadResult 23: 1 op, 57500 ns, 57.5000 us/op
WorkloadResult 24: 1 op, 50500 ns, 50.5000 us/op
WorkloadResult 25: 1 op, 57100 ns, 57.1000 us/op
WorkloadResult 26: 1 op, 40000 ns, 40.0000 us/op
WorkloadResult 27: 1 op, 58000 ns, 58.0000 us/op
WorkloadResult 28: 1 op, 29900 ns, 29.9000 us/op
WorkloadResult 29: 1 op, 31300 ns, 31.3000 us/op
WorkloadResult 30: 1 op, 69600 ns, 69.6000 us/op
WorkloadResult 31: 1 op, 49200 ns, 49.2000 us/op
WorkloadResult 32: 1 op, 57000 ns, 57.0000 us/op
WorkloadResult 33: 1 op, 40900 ns, 40.9000 us/op
WorkloadResult 34: 1 op, 49400 ns, 49.4000 us/op
WorkloadResult 35: 1 op, 48900 ns, 48.9000 us/op
WorkloadResult 36: 1 op, 57600 ns, 57.6000 us/op
WorkloadResult 37: 1 op, 39000 ns, 39.0000 us/op
WorkloadResult 38: 1 op, 55700 ns, 55.7000 us/op
WorkloadResult 39: 1 op, 56500 ns, 56.5000 us/op
WorkloadResult 40: 1 op, 58600 ns, 58.6000 us/op
WorkloadResult 41: 1 op, 64200 ns, 64.2000 us/op
WorkloadResult 42: 1 op, 33700 ns, 33.7000 us/op
WorkloadResult 43: 1 op, 30100 ns, 30.1000 us/op
WorkloadResult 44: 1 op, 49400 ns, 49.4000 us/op
WorkloadResult 45: 1 op, 31400 ns, 31.4000 us/op
WorkloadResult 46: 1 op, 50300 ns, 50.3000 us/op
WorkloadResult 47: 1 op, 57800 ns, 57.8000 us/op
WorkloadResult 48: 1 op, 30500 ns, 30.5000 us/op
WorkloadResult 49: 1 op, 55300 ns, 55.3000 us/op
WorkloadResult 50: 1 op, 56400 ns, 56.4000 us/op
WorkloadResult 51: 1 op, 56500 ns, 56.5000 us/op
WorkloadResult 52: 1 op, 68800 ns, 68.8000 us/op
WorkloadResult 53: 1 op, 60800 ns, 60.8000 us/op
WorkloadResult 54: 1 op, 57000 ns, 57.0000 us/op
WorkloadResult 55: 1 op, 48800 ns, 48.8000 us/op
WorkloadResult 56: 1 op, 42800 ns, 42.8000 us/op
WorkloadResult 57: 1 op, 46700 ns, 46.7000 us/op
WorkloadResult 58: 1 op, 57300 ns, 57.3000 us/op
WorkloadResult 59: 1 op, 54700 ns, 54.7000 us/op
WorkloadResult 60: 1 op, 34100 ns, 34.1000 us/op
WorkloadResult 61: 1 op, 31300 ns, 31.3000 us/op
WorkloadResult 62: 1 op, 49700 ns, 49.7000 us/op
WorkloadResult 63: 1 op, 55400 ns, 55.4000 us/op
WorkloadResult 64: 1 op, 51200 ns, 51.2000 us/op
WorkloadResult 65: 1 op, 60200 ns, 60.2000 us/op
WorkloadResult 66: 1 op, 49700 ns, 49.7000 us/op
WorkloadResult 67: 1 op, 34900 ns, 34.9000 us/op
WorkloadResult 68: 1 op, 32900 ns, 32.9000 us/op
WorkloadResult 69: 1 op, 55300 ns, 55.3000 us/op
WorkloadResult 70: 1 op, 69900 ns, 69.9000 us/op
WorkloadResult 71: 1 op, 58400 ns, 58.4000 us/op
WorkloadResult 72: 1 op, 57900 ns, 57.9000 us/op
WorkloadResult 73: 1 op, 76100 ns, 76.1000 us/op
WorkloadResult 74: 1 op, 31400 ns, 31.4000 us/op
WorkloadResult 75: 1 op, 49100 ns, 49.1000 us/op
WorkloadResult 76: 1 op, 71100 ns, 71.1000 us/op
WorkloadResult 77: 1 op, 50000 ns, 50.0000 us/op
WorkloadResult 78: 1 op, 69700 ns, 69.7000 us/op
WorkloadResult 79: 1 op, 31200 ns, 31.2000 us/op
WorkloadResult 80: 1 op, 54400 ns, 54.4000 us/op
WorkloadResult 81: 1 op, 56000 ns, 56.0000 us/op
WorkloadResult 82: 1 op, 54700 ns, 54.7000 us/op
WorkloadResult 83: 1 op, 49100 ns, 49.1000 us/op
WorkloadResult 84: 1 op, 57000 ns, 57.0000 us/op
WorkloadResult 85: 1 op, 38400 ns, 38.4000 us/op
WorkloadResult 86: 1 op, 71600 ns, 71.6000 us/op
WorkloadResult 87: 1 op, 65500 ns, 65.5000 us/op
WorkloadResult 88: 1 op, 71600 ns, 71.6000 us/op
WorkloadResult 89: 1 op, 43500 ns, 43.5000 us/op
WorkloadResult 90: 1 op, 57400 ns, 57.4000 us/op
WorkloadResult 91: 1 op, 56500 ns, 56.5000 us/op
WorkloadResult 92: 1 op, 71700 ns, 71.7000 us/op
WorkloadResult 93: 1 op, 56500 ns, 56.5000 us/op
WorkloadResult 94: 1 op, 61300 ns, 61.3000 us/op
WorkloadResult 95: 1 op, 31500 ns, 31.5000 us/op
WorkloadResult 96: 1 op, 74700 ns, 74.7000 us/op
WorkloadResult 97: 1 op, 70300 ns, 70.3000 us/op
WorkloadResult 98: 1 op, 40100 ns, 40.1000 us/op
