*** CreateStringLogger.CreateLog4NetFromString: Clr(Runtime=Clr, InvocationCount=1, UnrollFactor=1) ***
* Raw *
WorkloadActual 61: 1 op, 43700 ns, 43.7000 us/op
WorkloadActual 62: 1 op, 10300 ns, 10.3000 us/op
WorkloadActual 63: 1 op, 29400 ns, 29.4000 us/op
WorkloadActual 64: 1 op, 27900 ns, 27.9000 us/op
WorkloadActual 65: 1 op, 29000 ns, 29.0000 us/op
WorkloadActual 66: 1 op, 11200 ns, 11.2000 us/op
WorkloadActual 67: 1 op, 11900 ns, 11.9000 us/op
WorkloadActual 68: 1 op, 10900 ns, 10.9000 us/op
WorkloadActual 69: 1 op, 10900 ns, 10.9000 us/op
WorkloadActual 70: 1 op, 15900 ns, 15.9000 us/op
WorkloadActual 71: 1 op, 16300 ns, 16.3000 us/op
WorkloadActual 72: 1 op, 16000 ns, 16.0000 us/op
WorkloadActual 73: 1 op, 11200 ns, 11.2000 us/op
WorkloadActual 74: 1 op, 30000 ns, 30.0000 us/op
WorkloadActual 75: 1 op, 36500 ns, 36.5000 us/op
WorkloadActual 76: 1 op, 29900 ns, 29.9000 us/op
WorkloadActual 77: 1 op, 23700 ns, 23.7000 us/op
WorkloadActual 78: 1 op, 31600 ns, 31.6000 us/op
WorkloadActual 79: 1 op, 11100 ns, 11.1000 us/op
WorkloadActual 80: 1 op, 21700 ns, 21.7000 us/op
WorkloadActual 81: 1 op, 23800 ns, 23.8000 us/op
WorkloadActual 82: 1 op, 10600 ns, 10.6000 us/op
WorkloadActual 83: 1 op, 23400 ns, 23.4000 us/op
WorkloadActual 84: 1 op, 23500 ns, 23.5000 us/op
WorkloadActual 85: 1 op, 27300 ns, 27.3000 us/op
WorkloadActual 86: 1 op, 10700 ns, 10.7000 us/op
WorkloadActual 87: 1 op, 29600 ns, 29.6000 us/op
WorkloadActual 88: 1 op, 11500 ns, 11.5000 us/op
WorkloadActual 89: 1 op, 21300 ns, 21.3000 us/op
WorkloadActual 90: 1 op, 11400 ns, 11.4000 us/op
WorkloadActual 91: 1 op, 20700 ns, 20.7000 us/op
WorkloadActual 92: 1 op, 11900 ns, 11.9000 us/op
WorkloadActual 93: 1 op, 30200 ns, 30.2000 us/op
WorkloadActual 94: 1 op, 23800 ns, 23.8000 us/op
WorkloadActual 95: 1 op, 30100 ns, 30.1000 us/op
WorkloadActual 96: 1 op, 25800 ns, 25.8000 us/op
WorkloadActual 97: 1 op, 23800 ns, 23.8000 us/op
WorkloadActual 98: 1 op, 11900 ns, 11.9000 us/op
WorkloadActual 99: 1 op, 11300 ns, 11.3000 us/op
WorkloadActual 100: 1 op, 23000 ns, 23.0000 us/op
WorkloadResult 1: 1 op, 14400 ns, 14.4000 us/op
WorkloadResult 2: 1 op, 14700 ns, 14.7000 us/op
WorkloadResult 3: 1 op, 36700 ns, 36.7000 us/op
WorkloadResult 4: 1 op, 23300 ns, 23.3000 us/op
WorkloadResult 5: 1 op, 44300 ns, 44.3000 us/op
WorkloadResult 6: 1 op, 24000 ns, 24.0000 us/op
WorkloadResult 7: 1 op, 29300 ns, 29.3000 us/op
WorkloadResult 8: 1 op, 22900 ns, 22.9000 us/op
WorkloadResult 9: 1 op, 29000 ns, 29.0000 us/op
WorkloadResult 10: 1 op, 10600 ns, 10.6000 us/op
WorkloadResult 11: 1 op, 23200 ns, 23.2000 us/op
WorkloadResult 12: 1 op, 23300 ns, 23.3000 us/op
WorkloadResult 13: 1 op, 10300 ns, 10.3000 us/op
WorkloadResult 14: 1 op, 11300 ns, 11.3000 us/op
WorkloadResult 15: 1 op, 22600 ns, 22.6000 us/op
WorkloadResult 16: 1 op, 40300 ns, 40.3000 us/op
WorkloadResult 17: 1 op, 10200 ns, 10.2000 us/op
WorkloadResult 18: 1 op, 22100 ns, 22.1000 us/op
WorkloadResult 19: 1 op, 23300 ns, 23.3000 us/op
WorkloadResult 20: 1 op, 27900 ns, 27.9000 us/op
WorkloadResult 21: 1 op, 22900 ns, 22.9000 us/op
WorkloadResult 22: 1 op, 25200 ns, 25.2000 us/op
WorkloadResult 23: 1 op, 23400 ns, 23.4000 us/op
WorkloadResult 24: 1 op, 24200 ns, 24.2000 us/op
WorkloadResult 25: 1 op, 16200 ns, 16.2000 us/op
WorkloadResult 26: 1 op, 24300 ns, 24.3000 us/op
WorkloadResult 27: 1 op, 18500 ns, 18.5000 us/op
WorkloadResult 28: 1 op, 11000 ns, 11.0000 us/op
WorkloadResult 29: 1 op, 14700 ns, 14.7000 us/op
WorkloadResult 30: 1 op, 22800 ns, 22.8000 us/op
WorkloadResult 31: 1 op, 28200 ns, 28.2000 us/op
WorkloadResult 32: 1 op, 27300 ns, 27.3000 us/op
WorkloadResult 33: 1 op, 29100 ns, 29.1000 us/op
WorkloadResult 34: 1 op, 10600 ns, 10.6000 us/op
WorkloadResult 35: 1 op, 27100 ns, 27.1000 us/op
WorkloadResult 36: 1 op, 36000 ns, 36.0000 us/op
WorkloadResult 37: 1 op, 17000 ns, 17.0000 us/op
WorkloadResult 38: 1 op, 23900 ns, 23.9000 us/op
WorkloadResult 39: 1 op, 12800 ns, 12.8000 us/op
WorkloadResult 40: 1 op, 10900 ns, 10.9000 us/op
WorkloadResult 41: 1 op, 37000 ns, 37.0000 us/op
WorkloadResult 42: 1 op, 12800 ns, 12.8000 us/op
WorkloadResult 43: 1 op, 24900 ns, 24.9000 us/op
WorkloadResult 44: 1 op, 18100 ns, 18.1000 us/op
WorkloadResult 45: 1 op, 10400 ns, 10.4000 us/op
WorkloadResult 46: 1 op, 29300 ns, 29.3000 us/op
WorkloadResult 47: 1 op, 10900 ns, 10.9000 us/op
WorkloadResult 48: 1 op, 44400 ns, 44.4000 us/op
WorkloadResult 49: 1 op, 23200 ns, 23.2000 us/op
WorkloadResult 50: 1 op, 14800 ns, 14.8000 us/op
WorkloadResult 51: 1 op, 15400 ns, 15.4000 us/op
WorkloadResult 52: 1 op, 22100 ns, 22.1000 us/op
WorkloadResult 53: 1 op, 14600 ns, 14.6000 us/op
WorkloadResult 54: 1 op, 30000 ns, 30.0000 us/op
WorkloadResult 55: 1 op, 12900 ns, 12.9000 us/op
WorkloadResult 56: 1 op, 10800 ns, 10.8000 us/op
WorkloadResult 57: 1 op, 13600 ns, 13.6000 us/op
WorkloadResult 58: 1 op, 22700 ns, 22.7000 us/op
WorkloadResult 59: 1 op, 28300 ns, 28.3000 us/op
WorkloadResult 60: 1 op, 10500 ns, 10.5000 us/op
WorkloadResult 61: 1 op, 43500 ns, 43.5000 us/op
WorkloadResult 62: 1 op, 10100 ns, 10.1000 us/op
WorkloadResult 63: 1 op, 29200 ns, 29.2000 us/op
WorkloadResult 64: 1 op, 27700 ns, 27.7000 us/op
WorkloadResult 65: 1 op, 28800 ns, 28.8000 us/op
WorkloadResult 66: 1 op, 11000 ns, 11.0000 us/op
WorkloadResult 67: 1 op, 11700 ns, 11.7000 us/op
WorkloadResult 68: 1 op, 10700 ns, 10.7000 us/op
WorkloadResult 69: 1 op, 10700 ns, 10.7000 us/op
WorkloadResult 70: 1 op, 15700 ns, 15.7000 us/op
WorkloadResult 71: 1 op, 16100 ns, 16.1000 us/op
WorkloadResult 72: 1 op, 15800 ns, 15.8000 us/op
WorkloadResult 73: 1 op, 11000 ns, 11.0000 us/op
WorkloadResult 74: 1 op, 29800 ns, 29.8000 us/op
WorkloadResult 75: 1 op, 36300 ns, 36.3000 us/op
WorkloadResult 76: 1 op, 29700 ns, 29.7000 us/op
WorkloadResult 77: 1 op, 23500 ns, 23.5000 us/op
WorkloadResult 78: 1 op, 31400 ns, 31.4000 us/op
WorkloadResult 79: 1 op, 10900 ns, 10.9000 us/op
WorkloadResult 80: 1 op, 21500 ns, 21.5000 us/op
WorkloadResult 81: 1 op, 23600 ns, 23.6000 us/op
WorkloadResult 82: 1 op, 10400 ns, 10.4000 us/op
WorkloadResult 83: 1 op, 23200 ns, 23.2000 us/op
WorkloadResult 84: 1 op, 23300 ns, 23.3000 us/op
WorkloadResult 85: 1 op, 27100 ns, 27.1000 us/op
WorkloadResult 86: 1 op, 10500 ns, 10.5000 us/op
WorkloadResult 87: 1 op, 29400 ns, 29.4000 us/op
WorkloadResult 88: 1 op, 11300 ns, 11.3000 us/op
WorkloadResult 89: 1 op, 21100 ns, 21.1000 us/op
WorkloadResult 90: 1 op, 11200 ns, 11.2000 us/op
WorkloadResult 91: 1 op, 20500 ns, 20.5000 us/op
WorkloadResult 92: 1 op, 11700 ns, 11.7000 us/op
WorkloadResult 93: 1 op, 30000 ns, 30.0000 us/op
WorkloadResult 94: 1 op, 23600 ns, 23.6000 us/op
WorkloadResult 95: 1 op, 29900 ns, 29.9000 us/op
WorkloadResult 96: 1 op, 25600 ns, 25.6000 us/op
WorkloadResult 97: 1 op, 23600 ns, 23.6000 us/op
WorkloadResult 98: 1 op, 11700 ns, 11.7000 us/op
WorkloadResult 99: 1 op, 11100 ns, 11.1000 us/op
WorkloadResult 100: 1 op, 22800 ns, 22.8000 us/op

* Statistics for OverheadJitting
Mean = 325.4000 us, StdErr = 0.0000 us (0.00%); N = 1, StdDev = 0.0000 us
Min = 325.4000 us, Q1 = 325.4000 us, Median = 325.4000 us, Q3 = 325.4000 us, Max = 325.4000 us
IQR = 0.0000 us, LowerFence = 325.4000 us, UpperFence = 325.4000 us
ConfidenceInterval = [NaN us; NaN us] (CI 99.9%), Margin = NaN us (NaN% of Mean)
Skewness = NaN, Kurtosis = NaN, MValue = 2
-------------------- Histogram --------------------
[325.400 us ; 325.401 us) | @
---------------------------------------------------

* Statistics for WorkloadJitting
Mean = 640.2000 us, StdErr = 0.0000 us (0.00%); N = 1, StdDev = 0.0000 us
Min = 640.2000 us, Q1 = 640.2000 us, Median = 640.2000 us, Q3 = 640.2000 us, Max = 640.2000 us
IQR = 0.0000 us, LowerFence = 640.2000 us, UpperFence = 640.2000 us
ConfidenceInterval = [NaN us; NaN us] (CI 99.9%), Margin = NaN us (NaN% of Mean)
Skewness = NaN, Kurtosis = NaN, MValue = 2
-------------------- Histogram --------------------
[640.200 us ; 640.201 us) | @
---------------------------------------------------

* Statistics for OverheadWarmup
Mean = 2.5667 us, StdErr = 2.0532 us (80.00%); N = 6, StdDev = 5.0294 us
Min = 0.2000 us, Q1 = 0.3000 us, Median = 0.4000 us, Q3 = 1.3000 us, Max = 12.8000 us
IQR = 1.0000 us, LowerFence = -1.2000 us, UpperFence = 2.8000 us
ConfidenceInterval = [-11.5367 us; 16.6700 us] (CI 99.9%), Margin = 14.1033 us (549.48% of Mean)
Skewness = 1.34, Kurtosis = 2.88, MValue = 2.5
-------------------- Histogram --------------------
[-1671.803 ns ;  3171.803 ns) | @@@@@
[ 3171.803 ns ; 10378.197 ns) | 
[10378.197 ns ; 15221.803 ns) | @
---------------------------------------------------

* Statistics for OverheadActual
Mean = 265.0000 ns, StdErr = 29.2674 ns (11.04%); N = 20, StdDev = 130.8877 ns
Min = 100.0000 ns, Q1 = 200.0000 ns, Median = 200.0000 ns, Q3 = 300.0000 ns, Max = 600.0000 ns
IQR = 100.0000 ns, LowerFence = 50.0000 ns, UpperFence = 450.0000 ns
ConfidenceInterval = [151.3429 ns; 378.6571 ns] (CI 99.9%), Margin = 113.6571 ns (42.89% of Mean)
Skewness = 1.29, Kurtosis = 3.41, MValue = 2.46
-------------------- Histogram --------------------
[ 57.808 ns ; 157.808 ns) | @
[157.808 ns ; 242.192 ns) | @@@@@@@@@@@@@
[242.192 ns ; 357.808 ns) | @
[357.808 ns ; 457.808 ns) | @
[457.808 ns ; 542.192 ns) | @@
[542.192 ns ; 642.192 ns) | @
---------------------------------------------------

* Statistics for WorkloadWarmup
Mean = 18.6222 us, StdErr = 3.1728 us (17.04%); N = 9, StdDev = 9.5185 us
Min = 11.1000 us, Q1 = 12.1000 us, Median = 14.1000 us, Q3 = 23.5000 us, Max = 40.6000 us
IQR = 11.4000 us, LowerFence = -5.0000 us, UpperFence = 40.6000 us
ConfidenceInterval = [2.6270 us; 34.6175 us] (CI 99.9%), Margin = 15.9952 us (85.89% of Mean)
Skewness = 1.24, Kurtosis = 3.28, MValue = 2.33
-------------------- Histogram --------------------
[10.296 us ; 19.496 us) | @@@@@@
[19.496 us ; 27.504 us) | @@
[27.504 us ; 36.596 us) | 
[36.596 us ; 44.604 us) | @
---------------------------------------------------

* Statistics for WorkloadActual
Mean = 21.4320 us, StdErr = 0.8753 us (4.08%); N = 100, StdDev = 8.7531 us
Min = 10.3000 us, Q1 = 12.4500 us, Median = 23.0000 us, Q3 = 27.7000 us, Max = 44.6000 us
IQR = 15.2500 us, LowerFence = -10.4250 us, UpperFence = 50.5750 us
ConfidenceInterval = [18.4634 us; 24.4006 us] (CI 99.9%), Margin = 2.9686 us (13.85% of Mean)
Skewness = 0.51, Kurtosis = 2.68, MValue = 3.44
-------------------- Histogram --------------------
[10.050 us ; 13.350 us) | @@@@@@@@@@@@@@@@@@@@@@@@@@@@
[13.350 us ; 16.750 us) | @@@@@@@@@@@
[16.750 us ; 21.450 us) | @@@@@
